category,question,context,answer
Population,What is solution?,"Mathematical models suggest that even with widespread testing and contact tracing, in the absence of a COVID-19 vaccine, physical distancing will be a key intervention to prevent community transmission globally",physical distancing will be a key intervention to prevent community transmission
Population,What is solution?,"Interventions at the population level should be repurposed, developed, and tested in a virtuous loop to create the necessary evidence base","Interventions at the population level should be repurposed, developed, and tested"
Population,What is solution?,"In addition, psycho-education should be a central point for patients followed on an outpatient basis, and could take the form of prevention leaflets on the precautions to be taken to preserve mental health in a period of confinement, and on the continuity of treatment.",psycho-education should be a central point for patients followed on an outpatient basis
Population,What is solution?,"To control the transmission of the coronavirus and avoid nosocomial infection, triage procedures based on epidemiology were implemented in a local hospital of the city",triage procedures based on epidemiology were implemented
Population,What is solution?,"First, personal and hand hygiene are the gold standard approach toward minimizing the possibility of infection ",personal and hand hygiene
Population,What is solution?,An effective screening and management process in the outpatient clinic for patients requiring hospitalization during the COVID‐19 pandemic,screening and management process
Population,What is solution?,COVID‐19: implementing sustainable low cost physical distancing and enhanced hygiene,physical distancing and enhanced hygiene
Population,What is solution?,Policy reform should support states with flexibility to implement school-based meal programs which ensures continuity and avoids disruptions,implement school-based meal programs
Population,What is solution?,"By April 1, 2020, general preventive measures including recommendations for frequent handwashing, social distancing, and curfews or stay-at-home orders have been sanctioned","frequent handwashing, social distancing, and curfews"
Population,What is solution?,Single-session psychological debriefing approaches should be avoided as they may cause additional harm ,Single-session psychological debriefing approaches should be avoided
Population,What is solution?,"Social or physical distancing is the act of deliberately increasing the space between people to avoid spreading an illness, and is the most important recommendation from CDC as a community mitigation strategy to limit the spread of COVID-19",Social or physical distancing
Population,What is solution?,This could include a public health campaign explaining why quarantine is important,public health campaign explaining why quarantine is important
Population,What is solution?,"Online and telephone support needs to be provided for vulnerable groups, especially those living alone",Online and telephone support needs to be provided
Population,What is solution?,Research is urgently needed to generate evidence to inform health policy and health system responses to multimorbidity,Research is urgently needed to generate evidence to inform health policy
Population,What is solution?,We must address these issues to ensure that testing is available and accessible to those who seem to be at highest risk of ending up hospitalized and needing intensive care. Navigators can also help patients receive and interpret results through a communication channel that works for the patient,ensure that testing is available and accessible to those who seem to be at highest risk
Population,What is solution?,"We need robust data to guide these efforts, but better information must be coupled with urgent and effective action to decrease exposure, susceptibility, and limitations in health care to achieve the desired results. ",urgent and effective action to decrease exposure
Population,What is solution?,The SARS-CoV-2 response must prioritize access to testing in congregate settings and ensure access to shelters that can follow isolation and quarantine recommendations.,prioritize access to testing in congregate settings and ensure access to shelters
Population,What is solution?,"As we attempt to reconvene our peer-delivered intervention groups and individual sessions, we are finding that our participants have very little, if any, familiarity with applications such as Zoom, and require extensive technical assistance to install, set up, register for, and use these programs.",require extensive technical assistance
Population,What is solution?,Research is needed to assess the implications of policies enacted to contain the pandemic on mental health of children and adolescents,Research is needed to assess the implications
Population,What is solution?,"These associations should consider issuing guidelines that physicians and nurses desperately need to treat and prioritize patients who most need these resources, especially in disparity settings",issuing guidelines that physicians and nurses desperately need to treat and prioritize patients
Population,What is solution?,A systematic review showed promising effects on parenting of technology-based programs in low-and middle-income countries that focused on children's social-emotional behavior.,technology-based programs in low-and middle-income countries that focused on children's social-emotional behavior
Population,What is solution?,"Instead, interventions justified by Covid-19 should be consultative and forward looking",interventions justified by Covid-19 should be consultative
Population,What is solution?,"Ration resources (24-hour bed, investigations, staff expertise) to solve problem within reasonable limits",Ration resources
Population,What is solution?,Novel telehealth-based models have been pioneered and developed in resource-limited settings,Novel telehealth-based models
Population,What is solution?,"Results of such studies can be factored into governments' COVID-19 forward planning policies, such as vitamin D supplementation for at risk groups",vitamin D supplementation for at risk groups
Relevant Factors,What containment method?,"With contact tracing, the proportion q of individuals exposed to the virus is quarantined.",contact tracing
Relevant Factors,What containment method?,"We assume the lock down intervention had an immediate effect to reduce the disease transmissibility, plus another lasting effect that strengthens following the lock down",lock down
Relevant Factors,What containment method?,Other sporting events were forced to cancel when local and state governments restricted the sizes of gatherings,restricted the sizes of gatherings
Relevant Factors,What containment method?,This paper aims at analyzing the effect on the US air transportation system of the travel restriction measures implemented during the COVID-19 pandemic from a passenger perspective,travel restriction
Relevant Factors,What containment method?,"To restrict contact among individuals, governments have imposed unprecedented public health measures such as travel bans, workplace distancing, and schools closure","travel bans, workplace distancing, and schools closure"
Relevant Factors,What containment method?,"In this case, quarantine means the identification and isolation of infected individuals",quarantine
Relevant Factors,What containment method?,"In 87 particular, the model includes quarantine of asymptomatic suspected population 88 (exposed) and isolation of symptomatic and infectious patients",isolation of symptomatic and infectious patients
Relevant Factors,What containment method?,"The model, which incorporates the main non-pharmaceutical interventions being implemented to curtail COVID-19 transmission in a community (such as social-distancing, quarantine of suspected cases, isolation of confirmed cases, contact-tracing, testing and use of face-masks in public)","social-distancing, quarantine of suspected cases, isolation of confirmed cases, contact-tracing"
Relevant Factors,What containment method?,"Indeed, an asymptomatic individual will maintain a high contact rate, and thus might infect more susceptible individuals with respect to an infectious individual with symptoms that is in quarantine",quarantine
Relevant Factors,What containment method?,"Public health interventions, such as home quarantine or school closures, may be based on the cumulative prevalence of detected symptomatic cases",quarantine or school closures
Relevant Factors,What containment method?,"In addition, Italy applied non-pharmaceutical interventions based on physical distancing, school and store closures, workplace distancing, to avoid crowded place","physical distancing, school and store closures, workplace distancing"
Relevant Factors,What containment method?,We assume that exposed individuals E(t) and quarantined exposed individuals E q (t) are transmitted to infectious individuals I(t) and quarantined infectious individuals I q (t) with the same transition rate of ν,quarantined
Relevant Factors,What containment method?,"After isolation is enforced, we have a model for the isolated population",isolation
Relevant Factors,What containment method?,Isolation of symptomatic cases and home quarantine of asymptomatic contacts is recommended,Isolation
Relevant Factors,What containment method?,"Basically, in this case the quarantines do not have the effect of isolating potential infected individuals but rather to reduce the number of susceptible individuals that could have a contact 9 .",quarantines
Relevant Factors,What containment method?,"If large-scale community transmission occurs, mitigating social gatherings, temporary school closure, home isolation, close monitoring of symptomatic individual, provision of life supports (e.g.","mitigating social gatherings, temporary school closure, home isolation"
Relevant Factors,What containment method?,"Using previous assumptions around travel restrictions (Chinazzi et al., 2020) , we also modeled two scenarios where federal travel restrictions reduced passenger volume by 40% and by 90% from the restricted countries ( Figure 2E ).",travel restrictions
Relevant Factors,What containment method?,"Although the above interventions greatly reduced the human mobility, Wuhan lock-down combined with nationwide traffic restrictions and Stay At Home Movement do have a determining effect on the ongoing spread of COVID-19 across China Mainland.",lock-down
Relevant Factors,What containment method?,"We find that social distancing measures had a large effect in the provinces, where moreover higher transmissibility appears to have triggered more effective protection.",social distancing
Relevant Factors,What animals?,"In the case of COVID-19, similar to SARS, wild animals are considered to be the original hosts which then infected other animals (present in wet markets), which transmitted the disease to humans",wild animals
Relevant Factors,What animals?,"Coronaviruses caused diseases in mammals and birds, a zoonotic virus that is transmitted between animals and people",mammals and birds
Relevant Factors,What animals?,"CoVs can infect livestock, birds, bats, mice, whales, and many other wild animals, and they can cause great economic loss.","livestock, birds, bats, mice, whales, and many other wild animals"
Relevant Factors,What animals?,"The transmission of the virus was sought to be a contact of humans with infected animals such as fruit bats, chimpanzees, gorillas, monkeys, forest antelope, or porcupines.","fruit bats, chimpanzees, gorillas, monkeys, forest antelope, or porcupines"
Relevant Factors,Can animals transmit virus?,"It is generally known that bats may spread viruses to other intermediate hosts such as wild animals or livestock, from which the viruses are then transmitted to human",bats may spread viruses to other intermediate hosts
Relevant Factors,Can animals transmit virus?,"Coronaviruses caused diseases in mammals and birds, a zoonotic virus that is transmitted between animals and people",virus that is transmitted between animals and people
Relevant Factors,Can animals transmit virus?,"Wild animals were slaughtered in the Wuhan market, increasing the risk of human exposure to blood and to other animal fluids with high risk of being exposed to wild animal viruses",
Relevant Factors,Can animals transmit virus?,The CoVs are found in a large number of domestic and wild animals and birds,
Relevant Factors,What weather factor?,"Higher temperatures and higher RH (38 C, and >95% RH) have been found to reduce virus viability.",Higher temperatures and higher RH
Relevant Factors,What weather factor?,Temperature and humidity possibly influence the covid-19 spread (19,Temperature and humidity
Relevant Factors,What weather factor?,"The effects of climate and temperature could also affect the transmission capacity of the virus, because the viability of the virus seems to be influenced by sunlight, temperature, and humidity","sunlight, temperature, and humidity"
Relevant Factors,What weather factor?,"The viability of infectious influenza viruses decreases over time and is affected by environmental variables such as temperature, humidity, and UV radiation","temperature, humidity, and UV radiation"
Relevant Factors,What weather factor?,"Studies using a regression framework have found a role for temperature, relative humidity and specific humidity in the transmission of SARS-CoV-2 , suggesting that cold, dry conditions increase the transmission of the virus.","temperature, relative humidity and specific humidity"
Relevant Factors,What weather factor?,"The reasons for this enhanced viral spread during colder weather may be due to enhanced shedding of the virus during colder weather 17, 19",colder weather
Relevant Factors,What weather factor?,High Temperature and High Humidity Reduce the Transmission of COVID-19,High Temperature and High Humidity
Relevant Factors,How weather effects virus?,"Higher temperatures and higher RH (38 C, and >95% RH) have been found to reduce virus viability.",reduce virus viability
Relevant Factors,How weather effects virus?,"The effects of climate and temperature could also affect the transmission capacity of the virus, because the viability of the virus seems to be influenced by sunlight, temperature, and humidity","virus seems to be influenced by sunlight, temperature, and humidity"
Relevant Factors,How weather effects virus?,"The viability of infectious influenza viruses decreases over time and is affected by environmental variables such as temperature, humidity, and UV radiation",viability of infectious influenza viruses decreases
Relevant Factors,How weather effects virus?,"Studies using a regression framework have found a role for temperature, relative humidity and specific humidity in the transmission of SARS-CoV-2 , suggesting that cold, dry conditions increase the transmission of the virus.","cold, dry conditions increase the transmission of the virus"
Relevant Factors,How weather effects virus?,"The reasons for this enhanced viral spread during colder weather may be due to enhanced shedding of the virus during colder weather 17, 19",enhanced shedding of the virus
Patients,What is median age?,"The average age was 56.5 years (± 11.16), six patients were males, and the incubation period was 2–14 days.",56.5 years
Patients,What is median age?,"The median age was 49 years (range, 10-77)",49 years
Patients,What is median age?,"Results: 5 male and 4 female was included in those 9 patients, whose median age was 36 years, and the age range from 15 to 49 years",36 years
Patients,What is median age?,COVID-19 cases while children and adolescents age 10-19 years old were 1.2%,10-19 years
Patients,What is median age?,"The remaining 116 passengers (5 months to 68 years of age), including 23 children, were sent to the medical assessment center at Frankfurt Airport, where each was evaluated by a medical team of physicians.",5 months to 68 years of age
Patients,What is median age?,The median incubation period is 4 days.,
Patients,What is median age?,"From the reports of WHO (WHO, 2020), COVID-19 is initially assessed to have an incubation duration of 2 to 12.5 days and a median duration of 5 to 6 days.",
Patients,What is median age?,"There were 53.9% of cases who were males, with 16 cases in patients who had traveled abroad",
Patients,What is the median incubation period?,The median incubation period is 5 days.,5 days
Patients,What is the median incubation period?,The median incubation period was 4 days.,4 days
Patients,What is the median incubation period?,The median incubation period was 3.0 days and from illness onset to hospital admission was 2 days.,3.0 days
Patients,What is the median incubation period?,The median incubation period was 10.50 (7.75 -25.25) days.,10.50
Patients,What is the median incubation period?,"In (C), the incubation period was 5 days.",5 days
Patients,What is the median incubation period?,The incubation period was 4.8 days.,4.8 days
Patients,What is the median incubation period?,The mean incubation time was 3.0 days (range: 0-24.0 days).,3.0 days
Patients,What is the median incubation period?,incubation period of 2-14 (5.5 average) days,(5.5 average) days
Patients,What is the median incubation period?,The incubation period is 7.3 days,7.3 days
Patients,What is the incubation period range?,"The average incubation period is 5-6 days, ranging from 1-14 days 6 .",5-6 days
Patients,What is the incubation period range?,"The average age was 56.5 years (± 11.16), six patients were males, and the incubation period was 2–14 days.",2–14 days
Patients,What is the incubation period range?,"men and 32 were women, and the incubation period for the virus was estimated at 7---14 days.",7---14 days
Patients,What is the incubation period range?,Incubation time in children varies from 2 to 10 days .,2 to 10 days
Patients,What is the incubation period range?,"For adults, the incubation periods for the majority (66.5%) of the cases were 1-9 days: most of them (57.6% and 52.0% for males and females, respectively) had 1-5 days incubation.",1-9 days
Patients,What is the incubation period range?,The incubation period of the virus is estimated to be between 2 and 14 days but longer incubation are reported.,2 and 14 days
Patients,What is the incubation period range?,The estimated mean incubation period is reported as 3-6 days (range 1.3-11.3) .,3-6 days
Patients,What is the incubation period range?,The estimated mean incubation period is reported as 3-6 days (range 1.3-11.3) .,range 1.3-11.3
Patients,What is the incubation period range?,The estimated the median incubation period was 6.0 days (range 1-15 days),range 1-15 days
Patients,What is the incubation period range?,The median incubation period was 10.50 (7.75 -25.25) days.,(7.75 -25.25) days.
Patients,What is the incubation period range?,"Data suggest an incubation period of ∼5 days (range, 2–14 days). ",2–14 days
Patients,What is the incubation period range?,"The mean incubation period was 5.2 days (95% CI, 4.1–7.0)",4.1–7.0
Patients,What is the incubation period range?,The incubation period is around 5 days (range: 4-7 days) with a maximum of 12-13 day,range: 4-7 days
Patients,What is the incubation period range?,"The median incubation period from exposition to onset of first symptoms is 4 days (interquartile range, IQR 2-7 days)","interquartile range, IQR 2-7 days"
Patients,What is the incubation period range?,The mean incubation time was 3.0 days (range: 0-24.0 days),range: 0-24.0 days
Patients,What is the incubation period range?,"2020) , after an incubation period of 2-14 (5.5 average) days.",2-14 (5.5 average) days
Patients,What proportion are asymptomatic patients?,The proportion of infected individuals who had no symptoms during the study period was 17.0%.,17.0%
Patients,What proportion are asymptomatic patients?,"In order to estimate the proportion of asymptomatic subjects all 3711 people on board of the Diamond Princess cruise ship were tested, and the percentage of asymptomatic subjects was 17.9% (95% CI 15.5-20.2%) .",17.9%
Patients,What proportion are asymptomatic patients?,"Using a model, they estimated that the estimated asymptomatic proportion (among all infected cases) was 17.9% (95%CrI: 15.5-20.2%).",17.9%
Patients,What proportion are asymptomatic patients?,There are 26% children are asymptomatic.,26%
Patients,What proportion are asymptomatic patients?,More than 80% of the patients with COVID-19 are asymptomatic or oligosymptomatic.,80%
Patients,What proportion are asymptomatic patients?,The proportion of the population with no/mild/moderate symptoms was estimated to be as high as 85% of the population .,85%
Patients,What proportion are asymptomatic patients?," The posterior median estimate of the true proportion of asymptomatic individuals among the reported asymptomatic cases is 0.35 (95% credible interval (CrI): 0.30–0.39), with the estimated total number of the true asymptomatic cases at 113.3 (95%CrI: 98.2–128.3) and the estimated asymptomatic proportion (among all infected cases) at 17.9% (95%CrI: 15.5–20.2%).",17.9%
Patients,What proportion are asymptomatic patients?,"Among 634 individuals testing positive on board the Diamond Princess cruise ship, the proportion of individuals without symptoms was found to be 52%; the proportion who were asymptomatic (rather than pre-symptomatic) was estimated as 18% (17) . ",18%
Patients,What proportion are asymptomatic patients?,"On March 31, 2020, the director of the U.S. Centers for Disease Control (CDC) stated that the percentage of people in the general population who have COVID-19 but do not have symptoms is 25% ",25%
Patients,What proportion are asymptomatic patients?,"SARS-CoV-2 has caused a global pandemic with more than 2,400,000 infections to date, 165,000 deaths (as of 19 April 2020), and a case-fatality rate estimated at 4%",
Patients,What proportion are asymptomatic patients?,"According to WHO, the COVID-19 transmission may occur from symptomatic, pre-symptomatic, and asymptomatic people infected with COVID-19.",
Patients,What proportion are asymptomatic patients?,"The majority of adults experience mild symptoms, with only 15% experiencing severe symptoms and 5% becoming critically ill.",
Patients,What proportion are asymptomatic patients?,"From 1014 patients in Wuhan (only 7 were children), the sensitivity of CT in patients with COVID-19 detected was 97% (95%CI, 95-98%, 580/601 patients) while specificity was only 25% (95% CI 22-30%, 105/413 patients)",
Models,What model used?,"We opt for a deterministic model, as parameter inference (the central issue of our work) from stochastic models (18) (19) is still an open problem (20)",stochastic models
Models,What model used?,"Through the Euler integration algorithm to solve the model, the effect of infectious ability of incubation patients on the theoretical estimation of the present SEIR model was analyzed",Euler integration algorithm
Models,What model used?,Prediction of the COVID-19 Epidemic Trends Based on SEIR and AI Models,SEIR and AI Models
Models,What model used?,"We show that the predictive power of statistical models is limited until a few days before curves flatten, forecast deaths and infections assuming current policies continue and compare our predictions to the IHME models",statistical models
Models,What model used?,"The challenge is to determine , , = 1/ , , , from these data, using (5), (8), (9) to do numerical fits. T",
Models,What model used?, Model 1 65 Model 2 59 Model 3 59 Cumulative Cases Model 1 .037 (0.021-0.052) <0.001 Model 2 0.040 (0.023-0.056) <0.001 Model 3 0.043 (0.023-0.063),
Models,What is model prediction?,"In our study, we estimate that the R0 values decreased to 1.38 as a result of existing measures in Turkey",R0 values decreased to 1.38
Models,What is model prediction?,"We find an odds ratio of 1.38, but the 95% confidence interval (95% CI) is (0.89-2.14), which spans the null of an odds ratio of 1, and the estimate is not statistically significant at the 5 percent level",odds ratio of 1.38
Models,What is model prediction?,The model predicts an R0 = 2.73,R0 = 2.73
Models,What is model prediction?,"The cumulative cases predicted by the mathematical model was 1,20,203","cumulative cases predicted by the mathematical model was 1,20,203"
Models,What is model prediction?,"Country Scenario 2: 50% slower† Parameter or Prediction∗  Total by end Estimate 893,467 95% CI  (763,985, 1,131,023) ","Estimate 893,467 95% CI  (763,985, 1,131,023)"
Models,What is model prediction?,"R0 = 5.81 with 90% CI (5.08 , 6.98). ",R0 = 5.81
Models,What is model prediction?,"In this study, the RF algorithm is used to construct models and make predictions for the crossspecies transmission of coronavirus. ",crossspecies transmission of coronavirus
Models,What is model prediction?,"If it is not controlled, there will be 131 594 (prediction interval, 124 655 to 139 350) cases of infection at the end of the epidemic.","there will be 131 594 (prediction interval, 124 655 to 139 350) cases of infection"
Models,What is model prediction?,"MSIR model predicts that the infected will peak on August 20, 2020, with 4.75 million infected and 450000 death, while MSEIR model predicts that the infected will peak on May 6, 2020, with 850000 infected and 50000 death. ","infected will peak on August 20, 2020"
Models,What is model prediction?,"We predicted that the time points of the provinces/cities entering the plateau of the forecasted transmission dynamic curves varied, ranging from Jan 21 to April 19, 2020.","plateau of the forecasted transmission dynamic curves varied, ranging from Jan 21 to April 19, 2020"
Models,What is model prediction?,"The alternative model we implemented predicts a number of deaths exceeding 10,000, with a similar peak time","deaths exceeding 10,000"
Models,What is model prediction?,"Therefore, if person-to-person transmission persists from February, we predict the epidemic peak would occur in June.",epidemic peak would occur in June
Materials,What viral load measured?,"One important observation was that during the time the virus reduces its infecting capability, from 103.5 to 102.7 Tissue Culture Infective Dose (TCID) 50 per litre of air",103.5 to 102.7 Tissue Culture Infective Dose (TCID) 50 per litre of air
Materials,What viral load measured?,A similar tendency of SARS-CoV-1 is also observed in this study and identified that the infection capability of COVID-19 virus has reduced from 104.3 to 103.5 TCID50,104.3 to 103.5 TCID50
Materials,What viral load measured?,Cardiac autoantibody titres may be helpful but not in the acute phase.,
Materials,What viral load measured?,They found that this virus could be inactivated using a high concentration of 27.73 mg/L for 4 min,
Materials,What is conclusion on surfaces?,Droplets can persist on hands and other surfaces,Droplets can persist on hands and other surfaces
Materials,What is conclusion on surfaces?,"With the median half-life estimate for SARS-CoV-2 being around 13 h on stainless steel and around 16 h on polypropylene, both viruses exhibit relatively long viability on these surfaces compared to copper or cardboard .",viruses exhibit relatively long viability on these surfaces
